ID	genbank name	AHRD name
CNAG_01850	Atypical/HisK protein kinase	Histidine kinase 4
CNAG_01851	hypothetical protein	Unknown protein
CNAG_01852	CCR4-NOT transcription complex subunit 2	CCR4-NOT transcription complex subunit 2
CNAG_01853	splicing factor 3B subunit 5	Probable splicing factor 3B subunit 5
CNAG_01854	heparinase II/III family protein	Unknown protein
CNAG_01855	hypothetical protein	Lysosomal amino acid transporter 1
CNAG_01856	hypothetical protein	Unknown protein
CNAG_01857	hypothetical protein	Unknown protein
CNAG_01858	hypothetical protein	Homeobox protein box-5
CNAG_01859	hypothetical protein	Defining member of the SET3 histone deacetylase complex which is a meiosis-specific repressor of sporulation genes
CNAG_01860	ornithine cyclodeaminase	Thiomorpholine-carboxylate dehydrogenase
CNAG_01861	26S proteasome non-ATPase regulatory subunit 10	Ankyrin repeat domain-containing protein 6
CNAG_01862	hexose transporter	Putative hexose transporter 12
CNAG_01863	ATP-dependent helicase STH1/SNF2	Catalytic subunit of the SWI/SNF chromatin remodeling complex involved in transcriptional regulation
CNAG_01864	hypothetical protein	Uncharacterized Nudix hydrolase NudL Uncharacterized Nudix hydrolase NudL Uncharacterized Nudix hydrolase NudL Uncharacterized Nudix hydrolase NudL Uncharacterized Nudix hydrolase NudL Uncharacterized Nudix hydrolase NudL Uncharacterized Nudix hydrolase NudL Uncharacterized Nudix hydrolase NudL Uncharacterized Nudix hydrolase NudL
CNAG_01865	hypothetical protein	1-aminocyclopropane-1-carboxylate synthase 2
CNAG_01866	hypothetical protein	Unknown protein
CNAG_01867	mitochondrial division protein 1	Lissencephaly-1 homolog
CNAG_01868	protein KTI12	Protein kti12
CNAG_01869	hypothetical protein	Unknown protein
CNAG_01870	electron transfer flavoprotein beta subunit	Electron transfer flavoprotein subunit beta
CNAG_01871	prolactin regulatory element-binding protein	Prolactin regulatory element-binding protein
CNAG_01872	solute carrier family 31 (copper transporter), member 1	Copper transport protein CTR2
CNAG_01873	hypothetical protein	Unknown protein
CNAG_01874	glutathione S-transferase	Microsomal glutathione S-transferase 3
CNAG_01875	WD-repeat protein	Regulator of V-ATPase in vacuolar membrane protein 1
CNAG_01876	TBC1 domain family member 5	TBC1 domain family member 5
CNAG_01877	GMP synthase [glutamine-hydrolyzing]	GMP synthase [glutamine-hydrolyzing]
CNAG_01878	myo-inositol 2-dehydrogenase	Inositol 2-dehydrogenase 2
CNAG_01879	cathepsin A (carboxypeptidase C)	Carboxypeptidase Y homolog A
CNAG_01880	hypothetical protein	Unknown protein
CNAG_01881	molecular chaperone GrpE	Protein GrpE
CNAG_01882	histone-lysine N-methyltransferase, H3 lysine-79 specific	Histone-lysine N-methyltransferase, H3 lysine-79 specific
CNAG_01883	hypothetical protein	Transcription factor BCFI
CNAG_01884	large subunit ribosomal protein L3	50S ribosomal protein L3P
CNAG_01885	DNA polymerase sigma subunit	Poly(A) RNA polymerase protein 2
CNAG_01886	hypothetical protein	Unknown protein
CNAG_01889	glutathione S-transferase	Glutathione S-transferase omega-like 2
CNAG_01890	5-methyltetrahydropteroyltriglutamate- homocysteine S-methyltransferase	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
CNAG_01891	RAD57 protein	Unknown protein
CNAG_01892	hypothetical protein	Unknown protein
CNAG_01893	glutathione S-transferase Gst3	Glutathione S-transferase omega-like 2
CNAG_01894	aspartate-tRNA ligase	Aspartate--tRNA ligase
CNAG_01895	hypothetical protein	Unknown protein
CNAG_01896	alcohol dehydrogenase (NADP+)	NAD/NADP-dependent indole-3-acetaldehyde reductase
CNAG_01897	bromodomain-containing factor 1	Bromodomain-containing factor 1
CNAG_01898	protein MAK11	Lissencephaly-1 homolog
CNAG_01899	prefoldin alpha subunit	Probable prefoldin subunit 5
CNAG_01900	hypothetical protein	Nudix hydrolase 20, chloroplastic
CNAG_01901	hypothetical protein	Nudix hydrolase 24, chloroplastic
CNAG_01902	general transcriptional repressor	Tetratricopeptide repeat protein 6
CNAG_01903	hypothetical protein	Unknown protein
CNAG_01904	vacuolar amino acid transporter 5	Sodium-coupled neutral amino acid transporter 3
CNAG_01905	serine/threonine protein kinase	Protein kinase C
CNAG_01906	mitochondrial distribution and morphology protein 12	Mitochondrial distribution and morphology protein 12
CNAG_01907	PLK/PLK1 protein kinase	Protein kinase 2
CNAG_01908	uroporphyrinogen-III synthase	Uroporphyrinogen-III synthase
CNAG_01909	signal transducer	Microcephalin
CNAG_01910	hypothetical protein	Unknown protein
CNAG_01911	hypothetical protein	Exocyst complex component 3
CNAG_01912	NAD+ synthetase	NH(3)-dependent NAD(+) synthetase
CNAG_01913	hypothetical protein	Probable endonuclease 4
CNAG_01914	mitochondrial protein	Uncharacterized protein YLR290C, mitochondrial
CNAG_01915	ribonucleoside-diphosphate reductase subunit M2	Ribonucleoside-diphosphate reductase small chain
CNAG_01916	DNA mismatch repair protein MSH6	DNA mismatch repair protein MutS
CNAG_01917	ribonuclease P protein subunit POP4	Ribonuclease P protein subunit p29
CNAG_01918	cytoskeletal regulatory protein binding protein	Bud site selection protein 6
CNAG_01919	hypothetical protein	R3H and coiled-coil domain-containing protein 1
CNAG_01920	polyubiquitin	Polyubiquitin
CNAG_01921	hypothetical protein	Unknown protein
CNAG_01922	alternative cyclin Pho80	Cyclin-U4-1
CNAG_01923	ATPase GET3	ATPase GET3
CNAG_01924	hypothetical protein	Unknown protein
CNAG_01925	hypothetical protein	Putative tartrate transporter
CNAG_01926	peroxisome targeting signal receptor	Peroxisomal targeting signal receptor
CNAG_01927	hypothetical protein	Chaperone protein DnaJ
CNAG_01928	xaa-Pro aminopeptidase	Probable Xaa-Pro aminopeptidase P
CNAG_01929	hypothetical protein	Unknown protein
CNAG_01930	endopeptidase	Pepsin A-5
CNAG_01931	hypothetical protein	Unknown protein
CNAG_01933	hypothetical protein	Unknown protein
CNAG_01934	hypothetical protein	Unknown protein
CNAG_01936	sugar transporter	Solute carrier family 2, facilitated glucose transporter member 6
CNAG_01937	hypothetical protein	Unknown protein
CNAG_01938	CAMK/CAMKL/Kin1 protein kinase	CBL-interacting protein kinase 31
CNAG_01939	hypothetical protein	Thioredoxin-like protein AAED1
CNAG_01940	alpha-amylase	Alpha-amylase A
CNAG_01941	glucan synthesis regulatory protein	KNR4/SMI1 homolog
CNAG_01942	hypothetical protein	Unknown protein
CNAG_01943	hypothetical protein	Eukaryotic translation initiation factor 4E-4
CNAG_01944	hypothetical protein	Unknown protein
CNAG_01945	hypothetical protein	Unknown protein
CNAG_01946	allantoate permease	Putative tartrate transporter
CNAG_01947	2,4-dienoyl-CoA reductase	Uncharacterized NAD-dependent oxidoreductase Rv0687/MT0715
CNAG_01948	nuclear protein	Lactose regulatory protein LAC9
CNAG_01949	chlorophyll synthesis pathway protein BchC	L-threonine 3-dehydrogenase
CNAG_01950	hypothetical protein	Unknown protein
CNAG_01951	small subunit ribosomal protein S22-A	30S ribosomal protein S8
CNAG_01952	aryl-alcohol dehydrogenase	Probable voltage-gated potassium channel subunit beta
CNAG_01953	hypothetical protein	Probable vesicular acetylcholine transporter-B
CNAG_01954	aldo-keto reductase	Putative voltage-gated potassium channel subunit beta
CNAG_01955	alcohol dehydrogenase	Alcohol dehydrogenase
CNAG_01956	hypothetical protein	Unknown protein
CNAG_01957	20S proteasome subunit beta 7	Proteasome subunit beta 2
CNAG_01958	het-c2 protein	Glycolipid transfer protein
CNAG_01959	condensin complex subunit 1	Condensin complex subunit 1
CNAG_01960	efflux protein EncT	Multidrug resistance protein B homolog
CNAG_01961	MSP domain-containing protein	Vesicle-associated membrane protein-associated protein B
CNAG_01962	ubiquinone biosynthesis protein COQ4, mitochondrial	Ubiquinone biosynthesis protein COQ4, mitochondrial
CNAG_01963	CMP/dCMP deaminase zinc-binding protein	Guanine deaminase
CNAG_01964	OPT family small oligopeptide transporter	Oligopeptide transporter 1
CNAG_01965	hypothetical protein	Unknown protein
CNAG_01968	hypothetical protein	Unknown protein
CNAG_01969	zinc metalloprotease	Zinc metalloproteinase-disintegrin
CNAG_01970	hypothetical protein	Probable E3 ubiquitin-protein ligase makorin-2
CNAG_01971	hypothetical protein	Unknown protein
CNAG_01972	C2H2 zinc finger protein Zas1A	Unknown protein
CNAG_01973	C2H2 zinc finger protein Zas1A	Zinc finger protein 143
CNAG_01974	large subunit ribosomal protein L36	50S ribosomal protein L36
CNAG_01975	helicase	DNA helicase INO80
CNAG_01976	large subunit ribosomal protein L23	50S ribosomal protein L14
CNAG_01977	hypothetical protein	Unknown protein
CNAG_01978	prenyl protein peptidase	CAAX prenyl protease 2
CNAG_01979	transcription initiation factor TFIID subunit 10	Transcription initiation factor TFIID subunit 10
CNAG_01980	hypothetical protein	Unknown protein
CNAG_01981	sulfide:quinone oxidoreductase	Sulfide:quinone oxidoreductase, mitochondrial
CNAG_01982	hypothetical protein	Rho GTPase-activating protein 20
CNAG_01983	cAMP-independent regulatory protein	Transcriptional regulator MIT1
CNAG_01984	transaldolase	Transaldolase 1
CNAG_01985	hypothetical protein	Unknown protein
CNAG_01986	hypothetical protein	Unknown protein
CNAG_01987	carbohydrate binding protein	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA
CNAG_01988	bacteriophytochrome histidine kinase	Histidine kinase 2
CNAG_01989	hypothetical protein	SET domain-containing protein 5
CNAG_01990	small subunit ribosomal protein S5	30S ribosomal protein S7
CNAG_01991	cytochrome c oxidase subunit 4	Cytochrome c oxidase polypeptide 5, mitochondrial
CNAG_01992	hypothetical protein	SET domain-containing protein 5
CNAG_01993	hypothetical protein	Unknown protein
CNAG_01994	hypothetical protein	SET domain-containing protein 5
CNAG_01995	hypothetical protein	Unknown protein
CNAG_01996	hypothetical protein	Unknown protein
CNAG_01997	prephenate dehydrogenase (NADP+)	Probable prephenate dehydrogenase [NADP(+)]
CNAG_01999	hypothetical protein	Protein lethal(2)k10201
CNAG_02000	short-chain dehydrogenase	Short-chain dehydrogenase reductase 3c
CNAG_02001	inositol-polyphosphate 5-phosphatase	Inositol polyphosphate 5-phosphatase OCRL-1
CNAG_02002	hypothetical protein	Unknown protein
CNAG_02004	OTU domain-containing protein 6B	OTU domain-containing protein 6B
CNAG_02005	hypothetical protein	Unknown protein
CNAG_02006	protein N-terminal amidase	Protein N-terminal amidase
CNAG_02007	adenylate kinase 1	Adenylate kinase
CNAG_02008	nuclear protein	Phosphatidylethanolamine-binding protein 1
CNAG_02009	extensin	Unknown protein
CNAG_02010	tartrate transporter	Putative tartrate transporter
CNAG_02011	PQQ enzyme repeat protein	Unknown protein
CNAG_02012	TPR repeat-containing protein	Unknown protein
CNAG_02013	hypothetical protein	Unknown protein
CNAG_02016	hypothetical protein	Uncharacterized protein YbiU
CNAG_02017	hypothetical protein	Unknown protein
CNAG_02018	hypothetical protein	Unknown protein
CNAG_02020	SWR1-complex protein 4	SWR1-complex protein 4 SWR1-complex protein 4
CNAG_02021	N-terminal acetyltransferase A complex catalytic subunit Ard1	N-alpha-acetyltransferase 11
CNAG_02022	DNA-directed RNA polymerase II subunit RPB3	DNA-directed RNA polymerase subunit D
CNAG_02023	hypothetical protein	Unknown protein
CNAG_02024	hypothetical protein	Protein stu1
CNAG_02025	DNA-directed RNA polymerase III subunit RPC3	DNA-directed RNA polymerase III subunit RPC3
CNAG_02026	hypothetical protein	Unknown protein
CNAG_02027	hypothetical protein	Unknown protein
CNAG_02028	CMGC/SRPK protein kinase	Mitogen-activated protein kinase HOG1
CNAG_02029	wiskott-Aldrich syndrome protein	Neural Wiskott-Aldrich syndrome protein
CNAG_02030	glyoxal oxidase	Galactose oxidase
CNAG_02031	hypothetical protein	Unknown protein
CNAG_02032	nuclear export factor	SAC3 family protein 1
CNAG_02033	hypothetical protein	Unknown protein
CNAG_02034	hypothetical protein	Dr1-associated corepressor
CNAG_02035	triose-phosphate isomerase	Triosephosphate isomerase
CNAG_02036	hypothetical protein	Probable sugar phosphate/phosphate translocator At5g25400
CNAG_02037	large subunit ribosomal protein L22	50S ribosomal protein L22
CNAG_02038	hypothetical protein	Chaperone protein DnaJ
CNAG_02039	integral membrane protein	Solute carrier family 35 member G1
CNAG_02040	hypothetical protein	Unknown protein
CNAG_02041	hypothetical protein	Unknown protein
CNAG_02043	hypothetical protein	Unknown protein
CNAG_02044	hypothetical protein	Unknown protein
CNAG_02045	acetoacetate-CoA ligase	Acetyl-coenzyme A synthetase
CNAG_02046	poly(A)-binding protein binding protein	Ataxin-2 homolog
CNAG_02047	hypothetical protein	Unknown protein
CNAG_02048	proline dehydrogenase	Proline dehydrogenase 1, mitochondrial
CNAG_02049	proline dehydrogenase	Proline dehydrogenase 1, mitochondrial
CNAG_02050	hypothetical protein	Multidrug resistance protein D
CNAG_02051	kinesin family member 20/23	Kinesin-3
CNAG_02052	dimeric dihydrodiol dehydrogenase	Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase
CNAG_02053	hypothetical protein	Unknown protein
CNAG_02054	hypothetical protein	Unknown protein
CNAG_02055	hypothetical protein	Unknown protein
CNAG_02056	hypothetical protein	Unknown protein
CNAG_02057	hypothetical protein	Uncharacterized urease accessory protein UreF-like
CNAG_02058	hypothetical protein	Unknown protein
CNAG_02059	CCR4-NOT complex subunit CAF16	Spermidine/putrescine import ATP-binding protein PotA
CNAG_02060	hypothetical protein	Unknown protein
CNAG_02061	hypothetical protein	Unknown protein
CNAG_02062	glycoside hydrolase family 2	Unknown protein
CNAG_02063	hypothetical protein	Unknown protein
CNAG_02064	TATA-box-binding protein-associated factor	Putative DNA helicase INO80
CNAG_02065	hypothetical protein	Unknown protein
CNAG_02066	hypothetical protein	Thiamine repressible genes regulatory protein thi1
CNAG_02067	vacuolar protein	GDT1-like protein 4
CNAG_02068	stromal membrane-associated protein	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1
CNAG_02069	hypothetical protein	Unknown protein
CNAG_02070	hypothetical protein	Unknown protein
CNAG_02071	hypothetical protein	Protein BNI4
CNAG_02072	hypothetical protein	Unknown protein
CNAG_02073	DNA mismatch repair protein MLH1	DNA mismatch repair protein MutL
CNAG_02074	mitochondrial processing peptidase	Mitochondrial-processing peptidase subunit alpha
CNAG_02075	hypothetical protein	Mitochondrial ATPase complex subunit ATP10
CNAG_02076	leukotriene A-4 hydrolase/aminopeptidase	Leukotriene A-4 hydrolase homolog
CNAG_02077	elongator complex protein 5	Unknown protein
CNAG_02078	hydrolase	Pyrimidine-specific ribonucleoside hydrolase RihA
CNAG_02079	cytoplasmic protein	Uncharacterized protein YMR196W
CNAG_02080	hypothetical protein	Uncharacterized protein C3B8.8
CNAG_02081	mannosyl-oligosaccharide alpha-1,2-mannosidase	Mannosyl-oligosaccharide 1,2-alpha-mannosidase
CNAG_02082	DASH complex subunit DAD1	DASH complex subunit DAD1
CNAG_02083	siderochrome-iron transporter	Siderophore iron transporter 2
CNAG_02084	farnesyl diphosphate synthase	Farnesyl pyrophosphate synthase
CNAG_02085	hypothetical protein	NAD-dependent histone deacetylase SIR2
CNAG_02086	acyl-CoA-dependent ceramide synthase	Ceramide synthase 6
CNAG_02087	acyl-CoA-dependent ceramide synthase	Ceramide synthase 6
CNAG_02088	hypothetical protein	Unknown protein
CNAG_02089	hypothetical protein	Unknown protein
CNAG_02090	guanine nucleotide-binding protein G(o) subunit alpha	Guanine nucleotide-binding protein alpha-2 subunit
CNAG_02091	nucleosome assembly protein 1-like 1	Nucleosome assembly protein
CNAG_02092	protein EFR3	Protein EFR3
CNAG_02093	hypothetical protein	Unknown protein
CNAG_02094	arp2/3 complex 34 kda subunit	Actin-related protein 2/3 complex subunit 2
CNAG_02095	cyclin	Cyclin-B2-2
CNAG_02096	peroxin-16	Peroxisomal membrane protein PEX16
CNAG_02097	hypothetical protein	Tether containing UBX domain for GLUT4
CNAG_02099	fatty acid synthase subunit beta, fungi type	Fatty acid synthase subunit beta
CNAG_02100	fatty acid synthase subunit alpha, fungi type	Fatty acid synthase subunit alpha
CNAG_02101	hypothetical protein	Uncharacterized protein C6G9.01c
CNAG_02102	hypothetical protein	Unknown protein
CNAG_02103	hypothetical protein	Unknown protein
CNAG_02104	phosphatidylinositol transfer protein SFH5	Phosphatidylinositol transfer protein SFH5
CNAG_02105	methylated-DNA-protein-cysteine methyltransferase	Bifunctional methyltransferase/endonuclease
CNAG_02106	mitochondrial intermembrane space import and assembly protein 40	Mitochondrial intermembrane space import and assembly protein 40
CNAG_02107	hypothetical protein	Putative vacuolar protein sorting-associated protein TDA6
CNAG_02108	GTPase activating protein	TBC1 domain family member 1
CNAG_02109	type I inositol-1,4,5-trisphosphate 5-phosphatase 1	Inositol-1,4,5-trisphosphate 5-phosphatase 1
CNAG_02110	peptide alpha-N-acetyltransferase	N-alpha-acetyltransferase 16, NatA auxiliary subunit
CNAG_02111	protein Clp1	mRNA cleavage and polyadenylation factor CLP1
CNAG_02112	ubiquitin-conjugating enzyme E2 W	Ubiquitin-conjugating enzyme E2 W
CNAG_02113	clathrin assembly protein	AP-1 complex subunit sigma-1
CNAG_02114	hypothetical protein	Unknown protein
CNAG_02115	nonhistone protein 6	Putative high mobility group protein B3-like protein
CNAG_02116	arf/Sar family protein	ADP-ribosylation factor-like protein 8A
CNAG_02117	NAD-binding Rossmann fold oxidoreductase	Uncharacterized oxidoreductase ORF334
CNAG_02118	hypothetical protein	Unknown protein
CNAG_02119	hypothetical protein	Unknown protein
CNAG_02120	TIGR01456 family HAD hydrolase	Cat eye syndrome critical region protein 5 homolog
CNAG_02121	hypothetical protein	Unknown protein
CNAG_02122	cytoplasmic tRNA 2-thiolation protein 1	tRNA 2-thiocytidine biosynthesis protein TtcA
CNAG_02123	methionyl-tRNA formyltransferase	Methionyl-tRNA formyltransferase
CNAG_02124	hypothetical protein	RING finger protein 165
CNAG_02125	hypothetical protein	Unknown protein
CNAG_02126	hypothetical protein	Uncharacterized protein C26A3.14c
CNAG_02127	cyclin-dependent protein kinase regulator	Cyclin-L1
CNAG_02128	translation initiation factor 3 subunit J	Eukaryotic translation initiation factor 3 subunit J
CNAG_02129	hypothetical protein	Uncharacterized protein C32A11.02c
CNAG_02130	RNA-binding protein 39	RNA-binding protein 39
CNAG_02131	iron-sulfur cluster assembly protein	Iron-sulfur cluster insertion protein ErpA
CNAG_02132	hypothetical protein	Unknown protein
CNAG_02133	6-phosphogluconolactonase	Probable 6-phosphogluconolactonase
CNAG_02134	hypothetical protein	SWI/SNF complex subunit SWI3
CNAG_02135	protein transporter SEC20	Unknown protein
CNAG_02136	small subunit ribosomal protein S6	37S ribosomal protein MRP17, mitochondrial
CNAG_02137	hypothetical protein	Protein Hook homolog 2
CNAG_02138	DNA replication ATP-dependent helicase Dna2	DNA replication ATP-dependent helicase/nuclease DNA2
CNAG_02139	oxysterol-binding protein	Oxysterol-binding protein homolog 7
CNAG_02140	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 12	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12
CNAG_02141	hypothetical protein	Unknown protein
CNAG_02143	hypothetical protein	Unknown protein
CNAG_02144	large subunit ribosomal protein L1-A	50S ribosomal protein L1P
CNAG_02145	hypothetical protein	Unknown protein
CNAG_02146	hypothetical protein	Unknown protein
CNAG_02147	cytochrome c peroxidase	Catalase-peroxidase
CNAG_02148	ubiquitin-conjugating enzyme E2 35	Ubiquitin-conjugating enzyme E2 27
CNAG_02149	hypothetical protein	Protein FMP21, mitochondrial
CNAG_02150	mRNA methyltransferase	Methyltransferase-like protein 14
CNAG_02151	amidohydrolase	Imidazolonepropionase
CNAG_02152	hypothetical protein	Unknown protein
CNAG_02153	glucose repression regulatory protein TUP1	WD repeat-containing protein 38
CNAG_02154	anaphase-promoting complex subunit 6	Anaphase-promoting complex subunit 6
CNAG_02155	hypothetical protein	Unknown protein
CNAG_02156	hypothetical protein	Unknown protein
CNAG_02157	hypothetical protein	Ataxin-10
CNAG_02159	hypothetical protein	Unknown protein
CNAG_02160	hypothetical protein	Probable DNA polymerase family X
CNAG_02161	cortical actin cytoskeleton protein asp1	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase
CNAG_02162	U3 small nucleolar RNA-associated protein 24	rRNA-processing protein FCF1 homolog rRNA-processing protein FCF1 homolog rRNA-processing protein FCF1 homolog
CNAG_02163	hypothetical protein	Unknown protein
CNAG_02164	hypothetical protein	E3 ubiquitin-protein ligase KCMF1
CNAG_02165	cytoplasmic protein	Stage 0 sporulation protein YaaT
CNAG_02166	DNA-directed RNA polymerase II subunit RPB1	DNA-directed RNA polymerase subunit beta'
CNAG_02167	vacuolar protein sorting-associated protein 27	Vacuolar protein sorting-associated protein 27 Vacuolar protein sorting-associated protein 27
CNAG_02168	glucoamylase	Unknown protein
CNAG_02169	hypothetical protein	Unknown protein
CNAG_02170	hypothetical protein	Unknown protein
CNAG_02171	DNA polymerase eta subunit	DNA polymerase IV
CNAG_02172	ubiquitin-protein ligase	E3 ubiquitin-protein ligase ubr1
CNAG_02173	transporter particle component	Trafficking protein particle complex subunit 6B
CNAG_02174	signal recognition particle protein SRP54	Signal recognition particle 54 kDa protein homolog
CNAG_02175	5'-3' exoribonuclease 1	5'-3' exoribonuclease 1
CNAG_02176	hypothetical protein	Unknown protein
CNAG_02177	serine/threonine-protein phosphatase PP2A catalytic subunit	Serine/threonine-protein phosphatase 2A catalytic subunit A
CNAG_02178	hypothetical protein	Conserved oligomeric Golgi complex subunit 3
CNAG_02179	hemolysin	DUF21 domain-containing protein
CNAG_02180	phosphate transporter	Uncharacterized transporter C3B8.04c
CNAG_02181	dihydrokaempferol 4-reductase	Dihydroflavonol-4-reductase
CNAG_02182	D-lactaldehyde dehydrogenase	Dihydroflavonol-4-reductase
CNAG_02183	anaphase-promoting complex subunit 1	Anaphase-promoting complex subunit 1
CNAG_02184	hypothetical protein	Unknown protein
CNAG_02185	nuclear protein	Ribosomal RNA small subunit methyltransferase F
CNAG_02186	myosin regulatory light chain	Myosin light chain 5
CNAG_02187	terbinafine resistance locus protein	Protein YIPF6
CNAG_02188	hypothetical protein	Unknown protein
CNAG_02189	alpha-amylase	Alpha-amylase 1
CNAG_02190	hypothetical protein	COX assembly mitochondrial protein 2
CNAG_02191	hypothetical protein	DNL-type zinc finger protein
CNAG_02192	hypothetical protein	Unknown protein
CNAG_02193	kinetochore protein Spc25, fungi type	Probable kinetochore protein SPC25 Probable kinetochore protein SPC25
CNAG_02194	AGC/NDR protein kinase	Protein kinase 3
CNAG_02195	origin recognition complex subunit 1	ORC1-type DNA replication protein 1
CNAG_02196	septin	Septin-7
CNAG_02197	hypothetical protein	Unknown protein
CNAG_02198	mitochondrial inner membrane protease ATP23	Mitochondrial inner membrane protease ATP23
CNAG_02199	hypothetical protein	Unknown protein
CNAG_02200	hypothetical protein	Unknown protein
CNAG_02201	hypothetical protein	Unknown protein
CNAG_02202	adenylylsulfate kinase	Adenylyl-sulfate kinase
CNAG_02203	karyopherin/importin that interacts with the nuclear pore complex	Importin subunit beta-3
CNAG_02204	endonuclease G, mitochondrial	Mitochondrial nuclease
CNAG_02205	pH-response regulator protein palC	pH-response regulator protein palC
CNAG_02206	hypothetical protein	Unknown protein
CNAG_02207	hypothetical protein	Alkali-sensitive linkage protein 1
CNAG_02208	ribonucleoside-diphosphate reductase large subunit	Ribonucleoside-diphosphate reductase large subunit
CNAG_02209	nucleolar protein 56	Nucleolar protein 56
CNAG_02210	ribonuclease Z	Ribonuclease Z
CNAG_02211	hypothetical protein	Unknown protein
CNAG_02212	translation initiation factor 3 subunit A	Eukaryotic translation initiation factor 3 subunit A
CNAG_02213	epsin	Epsin-1
CNAG_02214	ubiquitin-conjugating enzyme E2 J1	Ubiquitin-conjugating enzyme E2 J1
CNAG_02215	transcriptional activator	Nuclear transcription factor Y subunit B-3
CNAG_02216	hypothetical protein	E3 ubiquitin-protein ligase listerin
CNAG_02217	chitin synthase	Chitin synthase 1
CNAG_02218	hypothetical protein	Unknown protein
CNAG_02219	hypothetical protein	RING finger protein 44
CNAG_02220	hypothetical protein	Uncharacterized signaling protein PA3311
CNAG_02221	solute carrier family 39 (zinc transporter), member 9	Zinc transporter ZIP9-A
CNAG_02222	phosphopantothenate-cysteine ligase	Phosphopantothenate--cysteine ligase
CNAG_02223	signal sequence binding protein	Vacuolar protein sorting/targeting protein 10
CNAG_02224	hypothetical protein	Unknown protein
CNAG_02225	glucan 1,3-beta-glucosidase	Glucan 1,3-beta-glucosidase
CNAG_02226	hypothetical protein	N-acetyldiaminopimelate deacetylase
CNAG_02227	hypothetical protein	Unknown protein
CNAG_02228	hypothetical protein	Unknown protein
CNAG_02229	protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha
CNAG_02230	phosphoketolase	Probable phosphoketolase
CNAG_02231	cytosolic Fe-S cluster assembly factor NBP35	Cytosolic Fe-S cluster assembly factor nubp1-A
CNAG_02232	RNA polymerase II-associated factor 1	RNA polymerase II-associated factor 1 homolog
CNAG_02233	serine/threonine-protein kinase ATR	Serine/threonine-protein kinase tel1
CNAG_02234	large subunit ribosomal protein L6e	60S ribosomal protein L6-1
CNAG_02235	hypothetical protein	Unknown protein
CNAG_02236	protein phosphatase	Probable serine/threonine-protein phosphatase 2A catalytic subunit B
CNAG_02237	cytoskeleton assembly control protein	Talin-B
CNAG_02238	ubiquitin-conjugating enzyme E2 G2	Ubiquitin-conjugating enzyme E2 2
CNAG_02239	26S protease regulatory subunit 4	26S protease regulatory subunit 6A
CNAG_02240	cytoplasmic protein	Vacuolar import and degradation protein 27
CNAG_02241	hypothetical protein	Unknown protein
CNAG_02253	hypothetical protein	Unknown protein
CNAG_02254	quinate permease	Solute carrier family 2, facilitated glucose transporter member 6
CNAG_02255	BNR/Asp-box repeat family protein	Unknown protein
CNAG_02257	GTP-binding nuclear protein spi1	Ras-like GTP-binding protein RYL1
CNAG_02258	hypothetical protein	N-alpha-acetyltransferase 35, NatC auxiliary subunit
CNAG_02259	tRNA-dihydrouridine synthase 2	tRNA-dihydrouridine synthase B
CNAG_02260	protein FAM50	Protein FAM50 homolog
CNAG_02261	hypothetical protein	Unknown protein
CNAG_02262	ATP-binding cassette transporter	Putative ABC transporter ATP-binding protein exp8
CNAG_02263	hypothetical protein	Unknown protein
CNAG_02264	AFG1-family ATPase	Lactation elevated protein 1
CNAG_02265	exportin-T	Exportin-T
CNAG_02266	NADH-quinone oxidoreductase subunit B 2	NADH-quinone oxidoreductase subunit B 2
CNAG_02267	cell cycle arrest protein BUB3	WD repeat-containing protein 61
CNAG_02268	nuclear membrane protein	Nucleus export protein brr6
CNAG_02269	autophagy-like protein 18 Atg18	Autophagy-related protein 18
CNAG_02270	homoserine O-acetyltransferase	Homoserine O-acetyltransferase
CNAG_02280	hypothetical protein	PRKR-interacting protein 1 homolog
CNAG_02281	hypothetical protein	Unknown protein
CNAG_02282	carboxypeptidase A4	Putative metallocarboxypeptidase ecm14
CNAG_02283	glucoamylase	Glucoamylase
CNAG_02284	2-oxoisovalerate dehydrogenase E1 component, alpha subunit	Pyruvate dehydrogenase E1 component subunit alpha Pyruvate dehydrogenase E1 component subunit alpha Pyruvate dehydrogenase E1 component subunit alpha Pyruvate dehydrogenase E1 component subunit alpha Pyruvate dehydrogenase E1 component subunit alpha
CNAG_02285	nucleoside diphosphate kinase	Nucleoside diphosphate kinase
CNAG_02286	cytoplasmic protein	Thyroid adenoma-associated protein homolog
CNAG_02287	hypothetical protein	RNA-binding protein 10
CNAG_02288	solute carrier family 25 (mitochondrial citrate transporter), member 1	Mitochondrial substrate carrier family protein G
CNAG_02289	rab family protein	Ras-related protein Rab-8B
CNAG_02290	parafibromin	Cell division control protein 73
CNAG_02291	DASH complex subunit DAM1	Unknown protein
