[Gene ID]	[Organism]	[Genomic Location]	[Product Description]	
CNAG_01564	C. neoformans var. grubii H99	CneoH99_Chr11: 295,111 - 297,283 (+)	RNA-binding protein 	
CNAG_01565	C. neoformans var. grubii H99	CneoH99_Chr11: 297,397 - 300,059 (+)	biotin-[acetyl-CoA-carboxylase] ligase 	
CNAG_01566	C. neoformans var. grubii H99	CneoH99_Chr11: 300,936 - 304,151 (-)	gamma-tubulin complex component 3 	
CNAG_01567	C. neoformans var. grubii H99	CneoH99_Chr11: 304,997 - 306,644 (+)	DUF1688 domain-containing protein 	
CNAG_01568	C. neoformans var. grubii H99	CneoH99_Chr11: 306,698 - 308,840 (-)	t-complex protein 1 	
CNAG_01569	C. neoformans var. grubii H99	CneoH99_Chr11: 309,071 - 310,366 (+)	conserved hypothetical protein 	
CNAG_01570	C. neoformans var. grubii H99	CneoH99_Chr11: 310,660 - 311,829 (-)	predicted protein 	
CNAG_01571	C. neoformans var. grubii H99	CneoH99_Chr11: 313,890 - 315,030 (+)	conserved hypothetical protein 	
CNAG_01572	C. neoformans var. grubii H99	CneoH99_Chr11: 318,753 - 321,154 (+)	tyrosine phosphatase 	
CNAG_01573	C. neoformans var. grubii H99	CneoH99_Chr11: 321,667 - 324,900 (-)	conserved hypothetical protein 	
CNAG_01574	C. neoformans var. grubii H99	CneoH99_Chr11: 326,886 - 328,538 (+)	conserved hypothetical protein 	
CNAG_01575	C. neoformans var. grubii H99	CneoH99_Chr11: 329,357 - 335,626 (+)	ATP-binding cassette transporter 	
CNAG_01576	C. neoformans var. grubii H99	CneoH99_Chr11: 337,034 - 338,091 (+)	conserved hypothetical protein 	
CNAG_01577	C. neoformans var. grubii H99	CneoH99_Chr11: 338,395 - 340,615 (-)	glutamate dehydrogenase 	
CNAG_01578	C. neoformans var. grubii H99	CneoH99_Chr11: 341,912 - 342,613 (+)	conserved hypothetical protein 	
CNAG_01579	C. neoformans var. grubii H99	CneoH99_Chr11: 342,670 - 348,752 (-)	vacuolar membrane-associated protein IML1 	
CNAG_01580	C. neoformans var. grubii H99	CneoH99_Chr11: 349,229 - 353,974 (+)	conserved hypothetical protein 	
CNAG_01581	C. neoformans var. grubii H99	CneoH99_Chr11: 354,426 - 354,692 (+)	predicted protein 	
CNAG_01582	C. neoformans var. grubii H99	CneoH99_Chr11: 354,821 - 355,279 (+)	predicted protein 	
CNAG_01583	C. neoformans var. grubii H99	CneoH99_Chr11: 355,525 - 356,937 (-)	vacuolar-sorting protein SNF7 	
CNAG_01584	C. neoformans var. grubii H99	CneoH99_Chr11: 357,258 - 358,461 (-)	hydrolase 	
CNAG_01585	C. neoformans var. grubii H99	CneoH99_Chr11: 359,061 - 359,652 (+)	conserved hypothetical protein 	
CNAG_01586	C. neoformans var. grubii H99	CneoH99_Chr11: 359,776 - 361,092 (-)	ATP synthase 	
CNAG_01587	C. neoformans var. grubii H99	CneoH99_Chr11: 361,270 - 362,831 (+)	conserved hypothetical protein 	
CNAG_01588	C. neoformans var. grubii H99	CneoH99_Chr11: 363,938 - 364,634 (+)	hypothetical protein 	
CNAG_01590	C. neoformans var. grubii H99	CneoH99_Chr11: 366,446 - 367,009 (+)	ribosomal protein YmL32 	
CNAG_01591	C. neoformans var. grubii H99	CneoH99_Chr11: 367,146 - 371,051 (-)	conserved hypothetical protein 	
CNAG_01592	C. neoformans var. grubii H99	CneoH99_Chr11: 371,683 - 372,681 (+)	protein-S-isoprenylcysteine O-methyltransferase 	
CNAG_01593	C. neoformans var. grubii H99	CneoH99_Chr11: 372,743 - 374,446 (-)	rRNA binding protein 	
CNAG_01594	C. neoformans var. grubii H99	CneoH99_Chr11: 375,452 - 379,830 (+)	glycine dehydrogenase 	
CNAG_01595	C. neoformans var. grubii H99	CneoH99_Chr11: 379,142 - 381,236 (-)	conserved hypothetical protein 	
CNAG_01596	C. neoformans var. grubii H99	CneoH99_Chr11: 381,472 - 382,568 (+)	conserved hypothetical protein 	
CNAG_01597	C. neoformans var. grubii H99	CneoH99_Chr11: 382,678 - 383,787 (-)	conserved hypothetical protein 	
CNAG_01598	C. neoformans var. grubii H99	CneoH99_Chr11: 384,053 - 385,270 (+)	conserved hypothetical protein 	
CNAG_01599	C. neoformans var. grubii H99	CneoH99_Chr11: 385,459 - 386,204 (-)	conserved hypothetical protein 	
CNAG_01600	C. neoformans var. grubii H99	CneoH99_Chr11: 386,383 - 388,007 (+)	glutamate-rich WD repeat containing 1 	
CNAG_01601	C. neoformans var. grubii H99	CneoH99_Chr11: 388,016 - 389,977 (-)	lipase 	
CNAG_01602	C. neoformans var. grubii H99	CneoH99_Chr11: 390,565 - 392,905 (-)	IQ calmodulin-binding domain-containing protein 	
CNAG_01603	C. neoformans var. grubii H99	CneoH99_Chr11: 393,523 - 394,964 (-)	conserved hypothetical protein 	
CNAG_01604	C. neoformans var. grubii H99	CneoH99_Chr11: 397,155 - 398,324 (-)	haloacid dehalogenase-like hydrolase domain-containing protein 2 	
CNAG_01605	C. neoformans var. grubii H99	CneoH99_Chr11: 398,630 - 399,676 (+)	rossman fold oxidoreductase 	
CNAG_01606	C. neoformans var. grubii H99	CneoH99_Chr11: 400,029 - 400,398 (+)	conserved hypothetical protein 	
CNAG_01607	C. neoformans var. grubii H99	CneoH99_Chr11: 401,379 - 401,901 (-)	thioredoxin 	
CNAG_01608	C. neoformans var. grubii H99	CneoH99_Chr11: 402,254 - 404,624 (+)	GTP-binding family protein 	
CNAG_01609	C. neoformans var. grubii H99	CneoH99_Chr11: 406,087 - 408,256 (+)	cystathionine gamma-synthase 	
CNAG_01610	C. neoformans var. grubii H99	CneoH99_Chr11: 408,315 - 412,445 (-)	DigA protein 	
CNAG_01611	C. neoformans var. grubii H99	CneoH99_Chr11: 413,577 - 415,621 (+)	conserved hypothetical protein 	
CNAG_01612	C. neoformans var. grubii H99	CneoH99_Chr11: 417,705 - 420,148 (+)	CAMK/CAMKL/SNRK protein kinase 	
CNAG_01613	C. neoformans var. grubii H99	CneoH99_Chr11: 420,507 - 427,446 (-)	conserved hypothetical protein 	
CNAG_01614	C. neoformans var. grubii H99	CneoH99_Chr11: 428,178 - 430,162 (+)	ubiquitin thiolesterase/zinc ion binding 	
CNAG_01615	C. neoformans var. grubii H99	CneoH99_Chr11: 430,516 - 431,723 (+)	aldo-keto reductase 	
CNAG_01616	C. neoformans var. grubii H99	CneoH99_Chr11: 432,412 - 436,310 (-)	DUF726 domain-containing protein 	
CNAG_01619	C. neoformans var. grubii H99	CneoH99_Chr11: 441,287 - 443,539 (+)	conserved hypothetical protein 	
CNAG_01620	C. neoformans var. grubii H99	CneoH99_Chr11: 443,769 - 445,734 (-)	conserved hypothetical protein 	
CNAG_01621	C. neoformans var. grubii H99	CneoH99_Chr11: 448,086 - 449,072 (+)	conserved hypothetical protein 	
CNAG_01622	C. neoformans var. grubii H99	CneoH99_Chr11: 449,070 - 450,472 (-)	conserved hypothetical protein 	
CNAG_01623	C. neoformans var. grubii H99	CneoH99_Chr11: 450,738 - 452,380 (+)	pseudouridylate synthase 4 	
CNAG_01624	C. neoformans var. grubii H99	CneoH99_Chr11: 452,399 - 453,202 (-)	conserved hypothetical protein 	
CNAG_01625	C. neoformans var. grubii H99	CneoH99_Chr11: 453,659 - 455,291 (+)	conserved hypothetical protein 	
CNAG_01626	C. neoformans var. grubii H99	CneoH99_Chr11: 455,514 - 457,846 (-)	transcription coactivator 	
CNAG_01627	C. neoformans var. grubii H99	CneoH99_Chr11: 458,719 - 460,163 (+)	amino oxidase 	
CNAG_01628	C. neoformans var. grubii H99	CneoH99_Chr11: 460,283 - 460,904 (-)	ribosomal protein S20 	
CNAG_01629	C. neoformans var. grubii H99	CneoH99_Chr11: 461,179 - 461,892 (+)	conserved hypothetical protein 	
CNAG_01630	C. neoformans var. grubii H99	CneoH99_Chr11: 461,993 - 464,395 (-)	polyadenylation factor subunit 2 	
CNAG_01631	C. neoformans var. grubii H99	CneoH99_Chr11: 464,833 - 467,150 (+)	mRNA (guanine-N7-)-methyltransferase 	
CNAG_01632	C. neoformans var. grubii H99	CneoH99_Chr11: 467,519 - 469,662 (-)	triacylglycerol lipase 	
CNAG_01633	C. neoformans var. grubii H99	CneoH99_Chr11: 470,181 - 472,943 (+)	conserved hypothetical protein 	
CNAG_01634	C. neoformans var. grubii H99	CneoH99_Chr11: 473,465 - 475,983 (+)	GTP-binding protein 	
CNAG_01635	C. neoformans var. grubii H99	CneoH99_Chr11: 476,491 - 478,687 (+)	DUF1479 domain-containing protein 	
CNAG_01636	C. neoformans var. grubii H99	CneoH99_Chr11: 478,609 - 479,360 (-)	peptidyl-prolyl cis-trans isomerase-like 1 	
CNAG_01637	C. neoformans var. grubii H99	CneoH99_Chr11: 479,775 - 481,822 (+)	COPII-coated vesicle component Erv46 	
CNAG_01638	C. neoformans var. grubii H99	CneoH99_Chr11: 481,941 - 482,858 (-)	mitotic spindle checkpoint protein MAD2 	
CNAG_01639	C. neoformans var. grubii H99	CneoH99_Chr11: 483,084 - 485,924 (+)	elongation factor g 1 	
CNAG_01640	C. neoformans var. grubii H99	CneoH99_Chr11: 486,173 - 496,381 (-)	conserved hypothetical protein 	
CNAG_01641	C. neoformans var. grubii H99	CneoH99_Chr11: 496,810 - 500,747 (+)	DNA-directed DNA polymerase 	
CNAG_01642	C. neoformans var. grubii H99	CneoH99_Chr11: 501,349 - 506,389 (-)	DNA mismatch repair protein Msh3 	
CNAG_01643	C. neoformans var. grubii H99	CneoH99_Chr11: 507,261 - 507,594 (+)	predicted protein 	
CNAG_01644	C. neoformans var. grubii H99	CneoH99_Chr11: 507,794 - 508,925 (-)	conserved hypothetical protein 	
CNAG_01645	C. neoformans var. grubii H99	CneoH99_Chr11: 509,572 - 510,783 (+)	conserved hypothetical protein 	
CNAG_01646	C. neoformans var. grubii H99	CneoH99_Chr11: 510,918 - 512,574 (-)	rab escort protein 	
CNAG_01647	C. neoformans var. grubii H99	CneoH99_Chr11: 512,960 - 513,965 (+)	translocation protein sec66 	
CNAG_01648	C. neoformans var. grubii H99	CneoH99_Chr11: 514,214 - 514,860 (-)	histone H4 	
CNAG_01649	C. neoformans var. grubii H99	CneoH99_Chr11: 515,683 - 519,959 (-)	conserved hypothetical protein 	
CNAG_01650	C. neoformans var. grubii H99	CneoH99_Chr11: 520,727 - 521,741 (+)	60s ribosomal protein l7 	
CNAG_01651	C. neoformans var. grubii H99	CneoH99_Chr11: 521,792 - 524,727 (-)	glicosidase 	
CNAG_01652	C. neoformans var. grubii H99	CneoH99_Chr11: 525,191 - 527,638 (-)	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase 	
CNAG_01653	C. neoformans var. grubii H99	CneoH99_Chr11: 527,816 - 529,084 (-)	cytokine inducing-glycoprotein 	
CNAG_01654	C. neoformans var. grubii H99	CneoH99_Chr11: 531,187 - 533,781 (-)	Cas34p 	
CNAG_01655	C. neoformans var. grubii H99	CneoH99_Chr11: 534,312 - 537,194 (-)	dynamin 	
CNAG_01656	C. neoformans var. grubii H99	CneoH99_Chr11: 537,932 - 539,422 (-)	conserved hypothetical protein 	
CNAG_01657	C. neoformans var. grubii H99	CneoH99_Chr11: 539,679 - 541,654 (+)	fumarate hydratase 	
CNAG_01658	C. neoformans var. grubii H99	CneoH99_Chr11: 542,047 - 545,742 (+)	conserved hypothetical protein 	
CNAG_01659	C. neoformans var. grubii H99	CneoH99_Chr11: 546,138 - 547,891 (-)	conserved hypothetical protein 	
CNAG_01660	C. neoformans var. grubii H99	CneoH99_Chr11: 548,995 - 549,728 (+)	eukaryotic initiation factor 	
CNAG_01663	C. neoformans var. grubii H99	CneoH99_Chr11: 553,278 - 555,208 (-)	conserved hypothetical protein 	
CNAG_01664	C. neoformans var. grubii H99	CneoH99_Chr11: 555,598 - 556,932 (+)	CMGC/CDK/CDC2 protein kinase 	
CNAG_01665	C. neoformans var. grubii H99	CneoH99_Chr11: 557,157 - 558,284 (-)	conserved hypothetical protein 	
CNAG_01666	C. neoformans var. grubii H99	CneoH99_Chr11: 558,663 - 559,419 (+)	hypothetical protein 	
CNAG_01667	C. neoformans var. grubii H99	CneoH99_Chr11: 559,536 - 560,976 (+)	prenyltransferase 	
CNAG_01668	C. neoformans var. grubii H99	CneoH99_Chr11: 561,063 - 562,682 (-)	conserved hypothetical protein 	
CNAG_01669	C. neoformans var. grubii H99	CneoH99_Chr11: 562,956 - 564,645 (-)	metallo-beta-lactamase family protein 	
CNAG_01670	C. neoformans var. grubii H99	CneoH99_Chr11: 564,948 - 565,866 (+)	conserved hypothetical protein 	
CNAG_01671	C. neoformans var. grubii H99	CneoH99_Chr11: 565,964 - 568,394 (-)	acetyl/propionyl CoA carboxylase 	
CNAG_01672	C. neoformans var. grubii H99	CneoH99_Chr11: 569,072 - 569,865 (+)	RAS1 	
CNAG_01673	C. neoformans var. grubii H99	CneoH99_Chr11: 570,207 - 573,136 (-)	conserved hypothetical protein 	
CNAG_01674	C. neoformans var. grubii H99	CneoH99_Chr11: 573,898 - 575,840 (-)	MFS transporter 	
CNAG_01675	C. neoformans var. grubii H99	CneoH99_Chr11: 577,236 - 578,401 (+)	tagatose-bisphosphate aldolase 	
CNAG_01676	C. neoformans var. grubii H99	CneoH99_Chr11: 578,415 - 580,507 (-)	eukaryotic translation initiation factor 3 62 kda subunit 	
CNAG_01677	C. neoformans var. grubii H99	CneoH99_Chr11: 580,766 - 582,005 (+)	ER to Golgi transport protein Yif1 	
CNAG_01678	C. neoformans var. grubii H99	CneoH99_Chr11: 582,500 - 585,737 (-)	Na+/H+ exchanger AnNHA1 	
CNAG_01679	C. neoformans var. grubii H99	CneoH99_Chr11: 586,213 - 587,075 (+)	conserved hypothetical protein 	
CNAG_01680	C. neoformans var. grubii H99	CneoH99_Chr11: 587,214 - 590,179 (-)	methylcrotonoyl-Coenzyme A carboxylase 1 	
CNAG_01681	C. neoformans var. grubii H99	CneoH99_Chr11: 592,241 - 595,117 (+)	cytosine permease 	
CNAG_01682	C. neoformans var. grubii H99	CneoH99_Chr11: 596,540 - 598,894 (-)	mitochondrial outer membrane 72K protein 	
CNAG_01683	C. neoformans var. grubii H99	CneoH99_Chr11: 604,225 - 606,461 (+)	monosaccharide transporter 	
CNAG_01686	C. neoformans var. grubii H99	CneoH99_Chr11: 609,957 - 610,932 (-)	ThiJ/PfpI 	
CNAG_01687	C. neoformans var. grubii H99	CneoH99_Chr11: 611,471 - 613,567 (+)	atypical/RIO protein kinase 	
CNAG_01688	C. neoformans var. grubii H99	CneoH99_Chr11: 614,272 - 617,088 (+)	ATP-dependent peptidase 	
CNAG_01689	C. neoformans var. grubii H99	CneoH99_Chr11: 617,602 - 618,041 (-)	conserved hypothetical protein 	
CNAG_01690	C. neoformans var. grubii H99	CneoH99_Chr11: 618,995 - 622,112 (+)	MFS transporter 	
CNAG_01691	C. neoformans var. grubii H99	CneoH99_Chr11: 622,795 - 623,922 (-)	conserved hypothetical protein 	
CNAG_01692	C. neoformans var. grubii H99	CneoH99_Chr11: 625,920 - 627,789 (-)	NEDD8-activating enzyme E1 catalytic subunit 	
CNAG_01693	C. neoformans var. grubii H99	CneoH99_Chr11: 628,064 - 629,169 (+)	exosome complex exonuclease rrp45 	
CNAG_01694	C. neoformans var. grubii H99	CneoH99_Chr11: 629,579 - 635,048 (+)	conserved hypothetical protein 	
CNAG_01695	C. neoformans var. grubii H99	CneoH99_Chr11: 636,089 - 637,637 (-)	conserved hypothetical protein 	
CNAG_01696	C. neoformans var. grubii H99	CneoH99_Chr11: 638,033 - 640,290 (+)	DNAj protein 	
CNAG_01697	C. neoformans var. grubii H99	CneoH99_Chr11: 640,467 - 642,052 (-)	conserved hypothetical protein 	
CNAG_01698	C. neoformans var. grubii H99	CneoH99_Chr11: 642,668 - 644,751 (-)	conserved hypothetical protein 	
CNAG_01699	C. neoformans var. grubii H99	CneoH99_Chr11: 645,294 - 647,951 (-)	histone deacetylase 1-1 	
CNAG_01701	C. neoformans var. grubii H99	CneoH99_Chr11: 654,124 - 655,484 (+)	integral membrane protein 	
CNAG_01702	C. neoformans var. grubii H99	CneoH99_Chr11: 656,522 - 657,821 (+)	integral membrane protein 	
CNAG_01703	C. neoformans var. grubii H99	CneoH99_Chr11: 658,204 - 659,849 (-)	conserved hypothetical protein 	
CNAG_01704	C. neoformans var. grubii H99	CneoH99_Chr11: 660,446 - 664,013 (-)	serine/threonine protein kinase 	
CNAG_01706	C. neoformans var. grubii H99	CneoH99_Chr11: 665,349 - 667,221 (-)	predicted protein 	
CNAG_01707	C. neoformans var. grubii H99	CneoH99_Chr11: 667,406 - 671,984 (-)	conserved hypothetical protein 	
CNAG_01708	C. neoformans var. grubii H99	CneoH99_Chr11: 672,209 - 675,519 (+)	conserved hypothetical protein 	
CNAG_01709	C. neoformans var. grubii H99	CneoH99_Chr11: 675,730 - 677,714 (-)	translation initiation factor 	
CNAG_01710	C. neoformans var. grubii H99	CneoH99_Chr11: 678,549 - 679,850 (+)	conserved hypothetical protein 	
CNAG_01711	C. neoformans var. grubii H99	CneoH99_Chr11: 680,206 - 682,893 (-)	glycerol-3-phosphate O-acyltransferase 	
CNAG_01712	C. neoformans var. grubii H99	CneoH99_Chr11: 683,539 - 685,951 (+)	conserved hypothetical protein 	
CNAG_01713	C. neoformans var. grubii H99	CneoH99_Chr11: 686,027 - 686,765 (-)	conserved hypothetical protein 	
CNAG_01714	C. neoformans var. grubii H99	CneoH99_Chr11: 687,362 - 689,013 (-)	sulfonate dioxygenase 	
CNAG_01715	C. neoformans var. grubii H99	CneoH99_Chr11: 690,345 - 694,031 (-)	GTP binding protein 	
CNAG_01716	C. neoformans var. grubii H99	CneoH99_Chr11: 694,262 - 696,942 (+)	conserved hypothetical protein 	
CNAG_01717	C. neoformans var. grubii H99	CneoH99_Chr11: 697,418 - 698,958 (-)	cell differentiation protein 	
CNAG_01718	C. neoformans var. grubii H99	CneoH99_Chr11: 699,124 - 701,492 (+)	conserved hypothetical protein 	
CNAG_01719	C. neoformans var. grubii H99	CneoH99_Chr11: 702,153 - 703,748 (+)	conserved hypothetical protein 	
CNAG_01720	C. neoformans var. grubii H99	CneoH99_Chr11: 703,789 - 705,638 (-)	conserved hypothetical protein 	
CNAG_01721	C. neoformans var. grubii H99	CneoH99_Chr11: 706,562 - 708,241 (+)	hydroxymethylbilane synthase 	
CNAG_01722	C. neoformans var. grubii H99	CneoH99_Chr11: 708,600 - 719,933 (+)	vacuolar protein sorting-associated protein vps13 	
CNAG_01723	C. neoformans var. grubii H99	CneoH99_Chr11: 720,265 - 722,160 (-)	conserved hypothetical protein 	
CNAG_01725	C. neoformans var. grubii H99	CneoH99_Chr11: 723,636 - 724,282 (-)	predicted protein 	
CNAG_01726	C. neoformans var. grubii H99	CneoH99_Chr11: 724,817 - 728,825 (+)	transcriptional elongation regulator 	
CNAG_01727	C. neoformans var. grubii H99	CneoH99_Chr11: 729,059 - 731,645 (+)	Hsc70-4 	
CNAG_01728	C. neoformans var. grubii H99	CneoH99_Chr11: 731,792 - 732,959 (+)	conserved hypothetical protein 	
CNAG_01729	C. neoformans var. grubii H99	CneoH99_Chr11: 734,192 - 738,425 (+)	DEAH box polypeptide 37 	
CNAG_01730	C. neoformans var. grubii H99	CneoH99_Chr11: 738,521 - 740,377 (-)	STE/STE7/MEK1 protein kinase 	
CNAG_01731	C. neoformans var. grubii H99	CneoH99_Chr11: 741,852 - 744,219 (-)	conserved hypothetical protein 	
CNAG_01732	C. neoformans var. grubii H99	CneoH99_Chr11: 744,407 - 746,913 (+)	NPL4 	
CNAG_01733	C. neoformans var. grubii H99	CneoH99_Chr11: 747,153 - 749,115 (-)	nuclear matrix protein NMP200 	
CNAG_01734	C. neoformans var. grubii H99	CneoH99_Chr11: 749,311 - 753,122 (+)	pre-mRNA splicing factor 	
CNAG_01735	C. neoformans var. grubii H99	CneoH99_Chr11: 753,269 - 753,745 (-)	conserved hypothetical protein 	
CNAG_01736	C. neoformans var. grubii H99	CneoH99_Chr11: 755,043 - 755,394 (-)	predicted protein 	
CNAG_01737	C. neoformans var. grubii H99	CneoH99_Chr11: 755,607 - 757,001 (+)	C-4 methyl sterol oxidase 	
CNAG_01738	C. neoformans var. grubii H99	CneoH99_Chr11: 757,556 - 760,476 (-)	conserved hypothetical protein 	
CNAG_01739	C. neoformans var. grubii H99	CneoH99_Chr11: 760,696 - 763,560 (+)	conserved hypothetical protein 	
CNAG_01740	C. neoformans var. grubii H99	CneoH99_Chr11: 763,721 - 765,555 (-)	septin 	
CNAG_01741	C. neoformans var. grubii H99	CneoH99_Chr11: 765,924 - 767,018 (+)	conserved hypothetical protein 	
CNAG_01742	C. neoformans var. grubii H99	CneoH99_Chr11: 767,128 - 768,829 (-)	water channel 	
CNAG_01743	C. neoformans var. grubii H99	CneoH99_Chr11: 770,207 - 770,721 (+)	conserved hypothetical protein 	
CNAG_01744	C. neoformans var. grubii H99	CneoH99_Chr11: 771,270 - 772,917 (-)	phosphatase 	
CNAG_01745	C. neoformans var. grubii H99	CneoH99_Chr11: 773,811 - 775,696 (+)	sn-glycerol-3-phosphate dehydrogenase NAD 	
CNAG_01746	C. neoformans var. grubii H99	CneoH99_Chr11: 776,028 - 777,932 (-)	RING finger protein 	
CNAG_01749	C. neoformans var. grubii H99	CneoH99_Chr11: 786,452 - 787,004 (-)	conserved hypothetical protein 	
CNAG_01750	C. neoformans var. grubii H99	CneoH99_Chr11: 787,758 - 790,112 (-)	chaperone 	
CNAG_01751	C. neoformans var. grubii H99	CneoH99_Chr11: 792,366 - 793,232 (+)	conserved hypothetical protein 	
CNAG_01752	C. neoformans var. grubii H99	CneoH99_Chr11: 793,307 - 794,813 (-)	organic acid transporter 	
CNAG_01753	C. neoformans var. grubii H99	CneoH99_Chr11: 795,331 - 796,459 (+)	conserved hypothetical protein 	
CNAG_01754	C. neoformans var. grubii H99	CneoH99_Chr11: 797,201 - 800,374 (-)	conserved hypothetical protein 	
CNAG_01755	C. neoformans var. grubii H99	CneoH99_Chr11: 800,785 - 803,472 (+)	conserved hypothetical protein 	
CNAG_01756	C. neoformans var. grubii H99	CneoH99_Chr11: 803,478 - 804,198 (-)	mitochondrial import inner membrane translocase subunit TIM22 	
CNAG_01757	C. neoformans var. grubii H99	CneoH99_Chr11: 804,618 - 806,023 (+)	conserved hypothetical protein 	
CNAG_01758	C. neoformans var. grubii H99	CneoH99_Chr11: 806,977 - 808,916 (-)	polygalacturonase 	
CNAG_01759	C. neoformans var. grubii H99	CneoH99_Chr11: 809,708 - 811,306 (+)	vacuolar membrane protein 	
CNAG_01760	C. neoformans var. grubii H99	CneoH99_Chr11: 813,492 - 815,804 (-)	conserved hypothetical protein 	
CNAG_01761	C. neoformans var. grubii H99	CneoH99_Chr11: 816,841 - 817,703 (-)	conserved hypothetical protein 	
CNAG_01763	C. neoformans var. grubii H99	CneoH99_Chr11: 823,158 - 825,470 (-)	cytoplasmic protein 	
CNAG_01764	C. neoformans var. grubii H99	CneoH99_Chr11: 825,780 - 828,850 (+)	cytoplasmic protein 	
CNAG_01765	C. neoformans var. grubii H99	CneoH99_Chr11: 829,776 - 831,796 (-)	conserved hypothetical protein 	
CNAG_01768	C. neoformans var. grubii H99	CneoH99_Chr11: 837,088 - 839,502 (+)	DUF895 domain membrane protein 	
CNAG_01769	C. neoformans var. grubii H99	CneoH99_Chr11: 840,403 - 843,831 (-)	mitochondrial inner membrane protein 	
CNAG_01770	C. neoformans var. grubii H99	CneoH99_Chr11: 844,398 - 846,832 (-)	MRS7 family protein 	
CNAG_01771	C. neoformans var. grubii H99	CneoH99_Chr11: 847,016 - 848,000 (+)	conserved hypothetical protein 	
CNAG_01772	C. neoformans var. grubii H99	CneoH99_Chr11: 848,002 - 849,714 (-)	conserved hypothetical protein 	
CNAG_01773	C. neoformans var. grubii H99	CneoH99_Chr11: 851,268 - 853,132 (+)	conserved hypothetical protein 	
CNAG_01776	C. neoformans var. grubii H99	CneoH99_Chr11: 859,665 - 860,757 (+)	HpcH/HpaI aldolase/citrate lyase family protein 	
CNAG_01777	C. neoformans var. grubii H99	CneoH99_Chr11: 860,917 - 862,392 (-)	glyoxylate reductase 	
CNAG_01778	C. neoformans var. grubii H99	CneoH99_Chr11: 863,142 - 864,412 (+)	conserved hypothetical protein 	
CNAG_01779	C. neoformans var. grubii H99	CneoH99_Chr11: 864,585 - 866,079 (-)	conserved hypothetical protein 	
CNAG_01780	C. neoformans var. grubii H99	CneoH99_Chr11: 866,409 - 868,367 (+)	cytoplasmic protein 	
CNAG_01781	C. neoformans var. grubii H99	CneoH99_Chr11: 870,147 - 871,382 (-)	conserved hypothetical protein 	
CNAG_01787	C. neoformans var. grubii H99	CneoH99_Chr11: 929,453 - 931,200 (-)	conserved hypothetical protein 	
CNAG_01788	C. neoformans var. grubii H99	CneoH99_Chr11: 934,108 - 935,267 (-)	tRNA guanylyltransferase 	
CNAG_01789	C. neoformans var. grubii H99	CneoH99_Chr11: 935,713 - 936,334 (+)	conserved hypothetical protein 	
CNAG_01790	C. neoformans var. grubii H99	CneoH99_Chr11: 936,586 - 937,591 (-)	conserved hypothetical protein 	
CNAG_01791	C. neoformans var. grubii H99	CneoH99_Chr11: 938,481 - 940,343 (-)	coiled-coil protein 	
CNAG_01792	C. neoformans var. grubii H99	CneoH99_Chr11: 940,876 - 943,251 (+)	DNA repair and recombination protein pif1 	
CNAG_01793	C. neoformans var. grubii H99	CneoH99_Chr11: 944,842 - 946,969 (+)	conserved hypothetical protein 	
CNAG_01794	C. neoformans var. grubii H99	CneoH99_Chr11: 947,937 - 949,281 (+)	2-hydroxyacid dehydrogenase 	
CNAG_01795	C. neoformans var. grubii H99	CneoH99_Chr11: 949,788 - 952,914 (-)	conserved hypothetical protein 	
CNAG_01796	C. neoformans var. grubii H99	CneoH99_Chr11: 954,264 - 956,076 (+)	conserved hypothetical protein 	
CNAG_01797	C. neoformans var. grubii H99	CneoH99_Chr11: 955,906 - 956,884 (-)	conserved hypothetical protein 	
CNAG_01798	C. neoformans var. grubii H99	CneoH99_Chr11: 958,696 - 959,969 (+)	phosphatase activator 	
CNAG_01799	C. neoformans var. grubii H99	CneoH99_Chr11: 960,422 - 960,798 (-)	conserved hypothetical protein 	
CNAG_01800	C. neoformans var. grubii H99	CneoH99_Chr11: 961,372 - 961,780 (+)	conserved hypothetical protein 	
CNAG_01801	C. neoformans var. grubii H99	CneoH99_Chr11: 961,852 - 962,805 (+)	predicted protein 	
CNAG_01802	C. neoformans var. grubii H99	CneoH99_Chr11: 963,008 - 964,287 (-)	cytoplasmic protein 	
CNAG_01803	C. neoformans var. grubii H99	CneoH99_Chr11: 965,177 - 965,978 (+)	conserved hypothetical protein 	
CNAG_01806	C. neoformans var. grubii H99	CneoH99_Chr11: 970,193 - 973,503 (+)	conserved hypothetical protein 	
CNAG_01807	C. neoformans var. grubii H99	CneoH99_Chr11: 974,081 - 978,083 (+)	ATP dependent helicase 	
CNAG_01808	C. neoformans var. grubii H99	CneoH99_Chr11: 978,657 - 980,245 (-)	oxaloacetate carrier 	
CNAG_01809	C. neoformans var. grubii H99	CneoH99_Chr11: 980,387 - 982,277 (+)	small nuclear ribonucleoprotein hPrp3 	
CNAG_01810	C. neoformans var. grubii H99	CneoH99_Chr11: 982,425 - 983,076 (-)	DNA-directed RNA polymerase I kda polypeptide 	
CNAG_01811	C. neoformans var. grubii H99	CneoH99_Chr11: 983,570 - 984,814 (+)	conserved hypothetical protein 	
CNAG_01812	C. neoformans var. grubii H99	CneoH99_Chr11: 984,975 - 985,688 (-)	ribosome biogenesis protein RLP24 	
