[Gene ID]	[source_id]	[Genomic Location (Gene)]	[Product Description]	
YDR044W	YDR044W-t26_1	BK006938:546,642..547,628(+)	coproporphyrinogen oxidase	
YDR045C	YDR045C-t26_1	BK006938:547,978..548,310(-)	DNA-directed RNA polymerase III core subunit RPC11	
YDR046C	YDR046C-t26_1	BK006938:548,762..550,576(-)	amino acid transporter BAP3	
YDR047W	YDR047W-t26_1	BK006938:551,860..552,948(+)	uroporphyrinogen decarboxylase HEM12	
YDR049W	YDR049W-t26_1	BK006938:553,254..555,152(+)	Vms1p	
YDR050C	YDR050C-t26_1	BK006938:555,726..556,472(-)	triose-phosphate isomerase TPI1	
YDR051C	YDR051C-t26_1	BK006938:557,056..558,060(-)	acid phosphatase DET1	
YDR052C	YDR052C-t26_1	BK006938:558,511..560,625(-)	protein serine/threonine kinase activating protein DBF4	
YDR054C	YDR054C-t26_1	BK006938:561,440..562,327(-)	SCF E2 ubiquitin-protein ligase catalytic subunit CDC34	
YDR055W	YDR055W-t26_1	BK006938:563,527..564,861(+)	Pst1p	
YDR056C	YDR056C-t26_1	BK006938:565,023..565,640(-)	Emc10p	
YDR057W	YDR057W-t26_1	BK006938:565,927..567,555(+)	Yos9p	
YDR058C	YDR058C-t26_1	BK006938:567,723..568,703(-)	triglyceride lipase	
YDR059C	YDR059C-t26_1	BK006938:569,234..569,770(-)	E2 ubiquitin-conjugating protein UBC5	
YDR060W	YDR060W-t26_1	BK006938:570,649..573,726(+)	RNA-binding ribosome biosynthesis protein MAK21	
YDR061W	YDR061W-t26_1	BK006938:574,164..575,783(+)	hypothetical protein	
YDR062W	YDR062W-t26_1	BK006938:576,474..578,159(+)	serine C-palmitoyltransferase LCB2	
YDR063W	YDR063W-t26_1	BK006938:578,663..579,112(+)	Aim7p	
YDR064W	YDR064W-t26_1	BK006938:579,458..580,452(+)	ribosomal 40S subunit protein S13	
YDR065W	YDR065W-t26_1	BK006938:580,687..581,784(+)	Rrg1p	
YDR066C	YDR066C-t26_1	BK006938:581,908..582,498(-)	putative protein-serine/threonine phosphatase	
YDR067C	YDR067C-t26_1	BK006938:582,791..583,465(-)	protein-tyrosine-phosphatase	
YDR068W	YDR068W-t26_1	BK006938:583,713..584,645(+)	Dos2p	
YDR069C	YDR069C-t26_1	BK006938:584,939..587,719(-)	ubiquitin-specific protease DOA4	
YDR070C	YDR070C-t26_1	BK006938:588,098..588,379(-)	Fmp16p	
YDR071C	YDR071C-t26_1	BK006938:588,827..589,402(-)	polyamine acetyltransferase	
YDR072C	YDR072C-t26_1	BK006938:589,761..591,344(-)	inositolphosphotransferase	
YDR073W	YDR073W-t26_1	BK006938:592,439..592,948(+)	Snf11p	
YDR074W	YDR074W-t26_1	BK006938:593,893..596,583(+)	trehalose-phosphatase TPS2	
YDR075W	YDR075W-t26_1	BK006938:597,156..598,082(+)	phosphoprotein phosphatase PP4 catalytic subunit PPH3	
YDR076W	YDR076W-t26_1	BK006938:598,468..599,688(+)	putative DNA-dependent ATPase RAD55	
YDR077W	YDR077W-t26_1	BK006938:600,793..601,809(+)	Sed1p	
YDR078C	YDR078C-t26_1	BK006938:602,198..602,869(-)	Shu2p	
YDR079C-A	YDR079C-A-t26_1	BK006938:603,593..603,811(-)	TFIIH complex subunit TFB5	
YDR079W	YDR079W-t26_1	BK006938:603,064..603,399(+)	Pet100p	
YDR080W	YDR080W-t26_1	BK006938:604,008..606,986(+)	Vps41p	
YDR081C	YDR081C-t26_1	BK006938:607,304..610,081(-)	Pdc2p	
YDR082W	YDR082W-t26_1	BK006938:610,441..611,925(+)	Stn1p	
YDR083W	YDR083W-t26_1	BK006938:612,073..613,251(+)	25S rRNA (adenine645-N1)-methyltransferase	
YDR084C	YDR084C-t26_1	BK006938:613,405..614,004(-)	Tvp23p	
YDR085C	YDR085C-t26_1	BK006938:614,288..616,150(-)	Afr1p	
YDR086C	YDR086C-t26_1	BK006938:616,928..617,170(-)	translocon subunit SSS1	
YDR087C	YDR087C-t26_1	BK006938:617,470..618,306(-)	Rrp1p	
YDR088C	YDR088C-t26_1	BK006938:618,497..619,645(-)	mRNA splicing protein SLU7	
YDR089W	YDR089W-t26_1	BK006938:622,112..624,721(+)	hypothetical protein	
YDR090C	YDR090C-t26_1	BK006938:625,066..625,998(-)	hypothetical protein	
YDR091C	YDR091C-t26_1	BK006938:626,708..628,534(-)	Fe-S cluster-binding ribosome biosynthesis protein	
YDR092W	YDR092W-t26_1	BK006938:629,876..630,605(+)	E2 ubiquitin-conjugating protein UBC13	
YDR093W	YDR093W-t26_1	BK006938:631,282..636,120(+)	aminophospholipid-translocating P4-type ATPase DNF2	
YDR096W	YDR096W-t26_1	BK006938:637,139..639,823(+)	histone demethylase GIS1	
YDR097C	YDR097C-t26_1	BK006938:640,109..643,837(-)	mismatch repair ATPase MSH6	
YDR098C	YDR098C-t26_1	BK006938:644,178..644,930(-)	monothiol glutaredoxin GRX3	
YDR098C-A	YDR098C-A-t26_1	BK006938:649,804..651,126(-)	gag protein	
YDR098C-B	YDR098C-B-t26_1	BK006938:645,858..651,126(-)	gag-pol fusion protein	
YDR099W	YDR099W-t26_1	BK006938:653,607..654,428(+)	14-3-3 family protein BMH2	
YDR100W	YDR100W-t26_1	BK006938:655,013..655,444(+)	Tvp15p	
YDR101C	YDR101C-t26_1	BK006938:655,686..657,467(-)	putative hydrolase	
YDR103W	YDR103W-t26_1	BK006938:658,350..661,103(+)	Ste5p	
YDR104C	YDR104C-t26_1	BK006938:661,173..664,910(-)	Spo71p	
YDR105C	YDR105C-t26_1	BK006938:665,349..666,770(-)	Tms1p	
YDR106W	YDR106W-t26_1	BK006938:667,004..667,858(+)	Arp10p	
YDR107C	YDR107C-t26_1	BK006938:669,016..671,034(-)	Tmn2p	
YDR108W	YDR108W-t26_1	BK006938:671,269..673,365(+)	Trs85p	
YDR109C	YDR109C-t26_1	BK006938:673,520..675,667(-)	putative phosphotransferase	
YDR110W	YDR110W-t26_1	BK006938:676,102..677,802(+)	replication fork barrier binding protein FOB1	
YDR111C	YDR111C-t26_1	BK006938:678,241..679,764(-)	alanine transaminase ALT2	
YDR113C	YDR113C-t26_1	BK006938:680,496..681,617(-)	securin	
YDR114C	YDR114C-t26_1	BK006938:681,924..682,226(-)	hypothetical protein	
YDR115W	YDR115W-t26_1	BK006938:682,175..682,492(+)	putative mitochondrial 54S ribosomal protein	
YDR116C	YDR116C-t26_1	BK006938:682,724..683,581(-)	mitochondrial 54S ribosomal protein MRPL1	
YDR117C	YDR117C-t26_1	BK006938:683,946..685,643(-)	Tma64p	
YDR118W	YDR118W-t26_1	BK006938:685,882..687,840(+)	anaphase promoting complex subunit 4	
YDR119W	YDR119W-t26_1	BK006938:688,227..690,533(+)	Vba4p	
YDR119W-A	YDR119W-A-t26_1	BK006938:691,014..691,214(+)	Cox26p	
YDR120C	YDR120C-t26_1	BK006938:691,549..693,261(-)	tRNA (guanine26-N2)-dimethyltransferase	
YDR121W	YDR121W-t26_1	BK006938:693,585..694,175(+)	DNA polymerase epsilon noncatalytic subunit	
YDR122W	YDR122W-t26_1	BK006938:694,700..697,894(+)	serine/threonine protein kinase KIN1	
YDR123C	YDR123C-t26_1	BK006938:698,554..699,468(-)	Ino2p	
YDR124W	YDR124W-t26_1	BK006938:700,315..701,289(+)	hypothetical protein	
YDR125C	YDR125C-t26_1	BK006938:701,397..702,758(-)	alpha/beta hydrolase family protein	
YDR126W	YDR126W-t26_1	BK006938:703,234..704,244(+)	palmitoyltransferase SWF1	
YDR127W	YDR127W-t26_1	BK006938:704,484..709,250(+)	pentafunctional protein ARO1p	
YDR128W	YDR128W-t26_1	BK006938:709,549..712,995(+)	Mtc5p	
YDR129C	YDR129C-t26_1	BK006938:713,340..715,379(-)	fimbrin	
YDR130C	YDR130C-t26_1	BK006938:715,747..716,622(-)	Fin1p	
YDR131C	YDR131C-t26_1	BK006938:716,790..718,460(-)	hypothetical protein	
YDR132C	YDR132C-t26_1	BK006938:718,816..720,303(-)	hypothetical protein	
YDR134C	YDR134C-t26_1	BK006938:721,071..721,481(-)	unspecified product	
YDR135C	YDR135C-t26_1	BK006938:723,004..727,551(-)	ATP-binding cassette glutathione S-conjugate transporter YCF1	
YDR137W	YDR137W-t26_1	BK006938:728,259..730,250(+)	Rgp1p	
YDR138W	YDR138W-t26_1	BK006938:730,578..732,836(+)	Hpr1p	
YDR139C	YDR139C-t26_1	BK006938:733,618..733,924(-)	NEDD8 family protein RUB1	
YDR140W	YDR140W-t26_1	BK006938:734,138..734,803(+)	S-adenosylmethionine-dependent methyltransferase	
YDR141C	YDR141C-t26_1	BK006938:734,901..739,997(-)	Dop1p	
YDR142C	YDR142C-t26_1	BK006938:740,473..741,600(-)	Pex7p	
YDR143C	YDR143C-t26_1	BK006938:742,042..743,874(-)	ubiquitin-protein ligase SAN1	
YDR144C	YDR144C-t26_1	BK006938:744,311..746,101(-)	aspartyl protease	
YDR145W	YDR145W-t26_1	BK006938:746,738..748,357(+)	Taf12p	
YDR146C	YDR146C-t26_1	BK006938:748,613..750,742(-)	DNA-binding transcription factor SWI5	
YDR147W	YDR147W-t26_1	BK006938:751,631..753,235(+)	bifunctional choline kinase/ethanolamine kinase EKI1	
YDR148C	YDR148C-t26_1	BK006938:753,675..755,066(-)	alpha-ketoglutarate dehydrogenase KGD2	
YDR150W	YDR150W-t26_1	BK006938:755,628..763,874(+)	Num1p	
YDR151C	YDR151C-t26_1	BK006938:764,178..765,155(-)	putative mRNA-binding protein CTH1	
YDR152W	YDR152W-t26_1	BK006938:765,706..766,503(+)	Gir2p	
YDR153C	YDR153C-t26_1	BK006938:766,736..767,971(-)	Ent5p	
YDR155C	YDR155C-t26_1	BK006938:768,512..769,000(-)	peptidylprolyl isomerase CPR1	
YDR156W	YDR156W-t26_1	BK006938:769,525..769,938(+)	DNA-directed RNA polymerase I subunit RPA14	
YDR158W	YDR158W-t26_1	BK006938:770,357..771,454(+)	aspartate-semialdehyde dehydrogenase	
YDR159W	YDR159W-t26_1	BK006938:771,877..775,782(+)	Sac3p	
YDR160W	YDR160W-t26_1	BK006938:776,163..778,721(+)	Ssy1p	
YDR161W	YDR161W-t26_1	BK006938:779,043..780,206(+)	Acl4p	
YDR162C	YDR162C-t26_1	BK006938:780,390..781,100(-)	Nbp2p	
YDR163W	YDR163W-t26_1	BK006938:781,423..781,950(+)	U2-type spliceosomal complex subunit CWC15	
YDR164C	YDR164C-t26_1	BK006938:782,041..784,215(-)	Sec1p	
YDR165W	YDR165W-t26_1	BK006938:784,871..786,205(+)	Trm82p	
YDR166C	YDR166C-t26_1	BK006938:786,306..789,221(-)	exocyst subunit SEC5	
YDR167W	YDR167W-t26_1	BK006938:789,449..790,069(+)	Taf10p	
YDR168W	YDR168W-t26_1	BK006938:790,328..791,848(+)	Cdc37p	
YDR169C	YDR169C-t26_1	BK006938:792,348..793,889(-)	Stb3p	
YDR169C-A	YDR169C-A-t26_1	BK006938:794,574..794,723(-)	hypothetical protein	
YDR170C	YDR170C-t26_1	BK006938:796,193..802,222(-)	Arf family guanine nucleotide exchange factor SEC7	
YDR170W-A	YDR170W-A-t26_1	BK006938:803,195..804,517(+)	gag protein	
YDR171W	YDR171W-t26_1	BK006938:806,621..807,748(+)	heat shock protein HSP42	
YDR172W	YDR172W-t26_1	BK006938:808,324..810,381(+)	translation termination factor GTPase eRF3	
YDR173C	YDR173C-t26_1	BK006938:810,565..811,632(-)	inositol polyphosphate multikinase	
YDR174W	YDR174W-t26_1	BK006938:812,110..812,850(+)	Hmo1p	
YDR175C	YDR175C-t26_1	BK006938:813,193..814,152(-)	mitochondrial 37S ribosomal protein RSM24	
YDR176W	YDR176W-t26_1	BK006938:814,452..816,560(+)	histone acetyltransferase NGG1	
YDR177W	YDR177W-t26_1	BK006938:816,878..817,525(+)	E2 ubiquitin-conjugating protein UBC1	
YDR178W	YDR178W-t26_1	BK006938:817,950..818,495(+)	succinate dehydrogenase membrane anchor subunit SDH4	
YDR179C	YDR179C-t26_1	BK006938:818,708..819,196(-)	Csn9p	
YDR179W-A	YDR179W-A-t26_1	BK006938:819,433..820,824(+)	Nvj3p	
YDR180W	YDR180W-t26_1	BK006938:821,295..825,776(+)	cohesin-loading factor complex subunit SCC2	
YDR181C	YDR181C-t26_1	BK006938:825,910..827,355(-)	Sas4p	
YDR182W	YDR182W-t26_1	BK006938:827,582..829,057(+)	putative lipid phosphatase CDC1	
YDR182W-A	YDR182W-A-t26_1	BK006938:829,151..829,354(+)	hypothetical protein	
YDR183W	YDR183W-t26_1	BK006938:829,585..830,277(+)	Plp1p	
YDR184C	YDR184C-t26_1	BK006938:830,629..831,513(-)	Atc1p	
YDR185C	YDR185C-t26_1	BK006938:831,934..832,473(-)	Ups3p	
YDR186C	YDR186C-t26_1	BK006938:832,859..835,492(-)	hypothetical protein	
YDR188W	YDR188W-t26_1	BK006938:836,421..838,061(+)	chaperonin-containing T-complex subunit CCT6	
YDR189W	YDR189W-t26_1	BK006938:838,392..840,392(+)	syntaxin-binding protein	
YDR190C	YDR190C-t26_1	BK006938:840,604..841,995(-)	RuvB family ATP-dependent DNA helicase pontin	
YDR191W	YDR191W-t26_1	BK006938:842,337..843,449(+)	NAD-dependent histone deacetylase HST4	
YDR192C	YDR192C-t26_1	BK006938:843,569..844,861(-)	FG-nucleoporin NUP42	
YDR194C	YDR194C-t26_1	BK006938:845,952..847,946(-)	ATP-dependent RNA helicase	
YDR194W-A	YDR194W-A-t26_1	BK006938:848,071..848,223(+)	hypothetical protein	
YDR195W	YDR195W-t26_1	BK006938:848,599..850,200(+)	RNA-processing protein REF2	
YDR196C	YDR196C-t26_1	BK006938:850,274..850,999(-)	putative dephospho-CoA kinase	
YDR197W	YDR197W-t26_1	BK006938:851,228..852,397(+)	Cbs2p	
YDR198C	YDR198C-t26_1	BK006938:852,533..853,972(-)	protein-lysine N-methyltransferase	
YDR200C	YDR200C-t26_1	BK006938:854,279..856,093(-)	Vps64p	
YDR201W	YDR201W-t26_1	BK006938:856,317..856,814(+)	Spc19p	
YDR202C	YDR202C-t26_1	BK006938:856,898..857,953(-)	Rav2p	
YDR204W	YDR204W-t26_1	BK006938:858,137..859,144(+)	ubiquinone biosynthesis protein COQ4	
YDR205W	YDR205W-t26_1	BK006938:859,346..861,520(+)	metal cation transporter MSC2	
YDR206W	YDR206W-t26_1	BK006938:862,054..864,708(+)	Ebs1p	
YDR207C	YDR207C-t26_1	BK006938:865,012..867,522(-)	DNA-binding transcriptional regulator UME6	
YDR208W	YDR208W-t26_1	BK006938:868,224..870,563(+)	1-phosphatidylinositol-4-phosphate 5-kinase	
YDR210C-C	YDR210C-C-t26_1	BK006938:882,605..883,927(-)	gag protein	
YDR210C-D	YDR210C-D-t26_1	BK006938:878,659..883,927(-)	gag-pol fusion protein	
YDR210W	YDR210W-t26_1	BK006938:871,074..871,301(+)	hypothetical protein	
YDR210W-A	YDR210W-A-t26_1	BK006938:872,112..873,428(+)	gag protein	
YDR210W-B	YDR210W-B-t26_1	BK006938:872,112..877,425(+)	gag-pol fusion protein	
YDR211W	YDR211W-t26_1	BK006938:884,727..886,865(+)	translation initiation factor eIF2B catalytic subunit epsilon	
YDR212W	YDR212W-t26_1	BK006938:887,232..888,911(+)	chaperonin-containing T-complex alpha subunit TCP1	
YDR213W	YDR213W-t26_1	BK006938:889,751..892,492(+)	Upc2p	
YDR214W	YDR214W-t26_1	BK006938:892,875..893,927(+)	Aha1p	
YDR216W	YDR216W-t26_1	BK006938:895,035..899,006(+)	DNA-binding transcription factor ADR1	
YDR217C	YDR217C-t26_1	BK006938:899,551..903,480(-)	chromatin-binding protein RAD9	
YDR218C	YDR218C-t26_1	BK006938:903,781..905,052(-)	septin SPR28	
YDR219C	YDR219C-t26_1	BK006938:905,455..906,852(-)	Mfb1p	
YDR221W	YDR221W-t26_1	BK006938:907,330..909,438(+)	Gtb1p	
YDR222W	YDR222W-t26_1	BK006938:910,054..911,301(+)	hypothetical protein	
YDR223W	YDR223W-t26_1	BK006938:912,099..913,502(+)	Crf1p	
YDR224C	YDR224C-t26_1	BK006938:914,317..914,712(-)	histone H2B	
YDR225W	YDR225W-t26_1	BK006938:915,530..915,928(+)	histone H2A	
YDR226W	YDR226W-t26_1	BK006938:916,486..917,154(+)	adenylate kinase ADK1	
YDR227W	YDR227W-t26_1	BK006938:917,571..921,647(+)	chromatin-silencing protein SIR4	
YDR228C	YDR228C-t26_1	BK006938:921,926..923,806(-)	Pcf11p	
YDR229W	YDR229W-t26_1	BK006938:924,785..926,146(+)	Ivy1p	
YDR231C	YDR231C-t26_1	BK006938:926,293..926,910(-)	Cox20p	
YDR232W	YDR232W-t26_1	BK006938:927,452..929,098(+)	5-aminolevulinate synthase	
YDR233C	YDR233C-t26_1	BK006938:929,470..930,357(-)	Rtn1p	
YDR234W	YDR234W-t26_1	BK006938:931,129..933,210(+)	homoaconitate hydratase LYS4	
YDR235W	YDR235W-t26_1	BK006938:933,504..935,138(+)	mRNA splicing protein PRP42	
YDR236C	YDR236C-t26_1	BK006938:935,236..935,892(-)	riboflavin kinase	
YDR237W	YDR237W-t26_1	BK006938:936,615..937,493(+)	mitochondrial 54S ribosomal protein YmL7/YmL5	
YDR238C	YDR238C-t26_1	BK006938:937,895..940,816(-)	coatomer subunit beta	
YDR239C	YDR239C-t26_1	BK006938:941,057..943,420(-)	hypothetical protein	
YDR240C	YDR240C-t26_1	BK006938:943,674..945,152(-)	Snu56p	
YDR242W	YDR242W-t26_1	BK006938:946,807..948,456(+)	putative amidase	
YDR243C	YDR243C-t26_1	BK006938:948,518..950,284(-)	mRNA splicing protein PRP28	
YDR244W	YDR244W-t26_1	BK006938:950,563..952,401(+)	Pex5p	
YDR245W	YDR245W-t26_1	BK006938:952,800..953,981(+)	alpha-1,6-mannosyltransferase	
YDR246W	YDR246W-t26_1	BK006938:954,288..954,947(+)	TRAPP subunit TRS23	
YDR246W-A	YDR246W-A-t26_1	BK006938:955,133..955,333(+)	hypothetical protein	
YDR247W	YDR247W-t26_1	BK006938:956,013..957,398(+)	putative serine/threonine protein kinase VHS1	
YDR248C	YDR248C-t26_1	BK006938:957,758..958,339(-)	gluconokinase	
YDR249C	YDR249C-t26_1	BK006938:958,681..959,802(-)	hypothetical protein	
YDR251W	YDR251W-t26_1	BK006938:960,614..963,106(+)	Pam1p	
YDR252W	YDR252W-t26_1	BK006938:963,412..963,861(+)	CCR4-NOT core subunit BTT1	
YDR253C	YDR253C-t26_1	BK006938:963,990..964,565(-)	Met32p	
YDR254W	YDR254W-t26_1	BK006938:965,113..966,489(+)	Chl4p	
YDR255C	YDR255C-t26_1	BK006938:966,557..967,822(-)	ubiquitin-protein ligase RMD5	
YDR256C	YDR256C-t26_1	BK006938:968,133..969,680(-)	catalase A	
YDR257C	YDR257C-t26_1	BK006938:969,990..971,474(-)	ribosomal lysine N-methyltransferase	
YDR258C	YDR258C-t26_1	BK006938:971,808..974,243(-)	chaperone ATPase HSP78	
YDR259C	YDR259C-t26_1	BK006938:974,631..975,782(-)	Yap6p	
YDR260C	YDR260C-t26_1	BK006938:976,717..977,229(-)	Swm1p	
YDR261C	YDR261C-t26_1	BK006938:977,521..979,209(-)	glucan exo-1,3-beta-glucosidase	
YDR261C-C	YDR261C-C-t26_1	BK006938:991,027..992,349(-)	gag protein	
YDR261C-D	YDR261C-D-t26_1	BK006938:987,534..992,349(-)	gag-pol fusion protein	
YDR261W-A	YDR261W-A-t26_1	BK006938:981,462..982,778(+)	gag protein	
YDR261W-B	YDR261W-B-t26_1	BK006938:981,462..986,775(+)	gag-pol fusion protein	
YDR262W	YDR262W-t26_1	BK006938:993,134..993,952(+)	hypothetical protein	
YDR263C	YDR263C-t26_1	BK006938:994,242..995,534(-)	exodeoxyribonuclease DIN7	
YDR264C	YDR264C-t26_1	BK006938:996,029..998,323(-)	palmitoyltransferase AKR1	
YDR265W	YDR265W-t26_1	BK006938:998,864..999,877(+)	ubiquitin-protein ligase peroxin 10	
YDR266C	YDR266C-t26_1	BK006938:1,000,104..1,002,023(-)	E3 ubiquitin-protein ligase HEL2	
YDR267C	YDR267C-t26_1	BK006938:1,002,510..1,003,502(-)	iron-sulfur cluster assembly protein CIA1	
YDR268W	YDR268W-t26_1	BK006938:1,004,004..1,005,143(+)	tryptophan--tRNA ligase MSW1	
YDR270W	YDR270W-t26_1	BK006938:1,005,675..1,008,689(+)	Cu(2+)-transporting P-type ATPase CCC2	
YDR272W	YDR272W-t26_1	BK006938:1,009,010..1,009,834(+)	hydroxyacylglutathione hydrolase GLO2	
YDR273W	YDR273W-t26_1	BK006938:1,010,176..1,011,273(+)	Don1p	
YDR275W	YDR275W-t26_1	BK006938:1,012,252..1,012,959(+)	Bsc2p	
YDR276C	YDR276C-t26_1	BK006938:1,013,476..1,013,643(-)	Pmp3p	
YDR277C	YDR277C-t26_1	BK006938:1,014,401..1,015,702(-)	Mth1p	
YDR279W	YDR279W-t26_1	BK006938:1,019,368..1,020,420(+)	Rnh202p	
YDR280W	YDR280W-t26_1	BK006938:1,020,747..1,021,664(+)	exosome non-catalytic core subunit RRP45	
YDR281C	YDR281C-t26_1	BK006938:1,022,007..1,022,321(-)	Phm6p	
YDR282C	YDR282C-t26_1	BK006938:1,023,511..1,024,755(-)	Mrx10p	
YDR283C	YDR283C-t26_1	BK006938:1,025,070..1,030,049(-)	serine/threonine-protein kinase GCN2	
YDR284C	YDR284C-t26_1	BK006938:1,030,550..1,031,419(-)	bifunctional diacylglycerol diphosphate phosphatase/phosphatidate phosphatase	
YDR285W	YDR285W-t26_1	BK006938:1,032,436..1,035,063(+)	Zip1p	
YDR286C	YDR286C-t26_1	BK006938:1,035,231..1,035,575(-)	hypothetical protein	
YDR287W	YDR287W-t26_1	BK006938:1,035,995..1,036,873(+)	inositol monophosphate 1-phosphatase INM2	
YDR288W	YDR288W-t26_1	BK006938:1,037,195..1,038,106(+)	Smc5-Smc6 complex subunit NSE3	
YDR289C	YDR289C-t26_1	BK006938:1,038,280..1,039,509(-)	Rtt103p	
YDR291W	YDR291W-t26_1	BK006938:1,039,728..1,042,961(+)	ATP-dependent 3'-5' DNA helicase	
YDR292C	YDR292C-t26_1	BK006938:1,043,146..1,045,011(-)	Signal recognition particle receptor subunit alpha	
YDR293C	YDR293C-t26_1	BK006938:1,045,640..1,049,392(-)	mRNA-binding translational repressor SSD1	
YDR294C	YDR294C-t26_1	BK006938:1,050,459..1,052,228(-)	sphinganine-1-phosphate aldolase DPL1	
YDR295C	YDR295C-t26_1	BK006938:1,052,623..1,054,647(-)	Hda2p	
YDR296W	YDR296W-t26_1	BK006938:1,055,212..1,055,892(+)	Mhr1p	
YDR297W	YDR297W-t26_1	BK006938:1,056,551..1,057,600(+)	sphingosine hydroxylase	
YDR298C	YDR298C-t26_1	BK006938:1,058,176..1,058,814(-)	F1F0 ATP synthase subunit 5	
YDR299W	YDR299W-t26_1	BK006938:1,059,627..1,061,231(+)	rRNA-processing protein BFR2	
YDR300C	YDR300C-t26_1	BK006938:1,061,505..1,062,791(-)	glutamate 5-kinase	
YDR301W	YDR301W-t26_1	BK006938:1,063,352..1,067,425(+)	Cft1p	
YDR302W	YDR302W-t26_1	BK006938:1,067,731..1,068,390(+)	mannose-ethanolamine phosphotransferase GPI11	
YDR303C	YDR303C-t26_1	BK006938:1,068,729..1,071,386(-)	Rsc3p	
YDR304C	YDR304C-t26_1	BK006938:1,071,880..1,072,557(-)	peptidylprolyl isomerase family protein CPR5	
YDR305C	YDR305C-t26_1	BK006938:1,072,746..1,073,488(-)	bis(5'-adenosyl)-triphosphatase	
YDR306C	YDR306C-t26_1	BK006938:1,073,735..1,075,171(-)	hypothetical protein	
YDR307W	YDR307W-t26_1	BK006938:1,075,865..1,077,853(+)	putative dolichyl-phosphate-mannose--protein mannosyltransferase	
YDR308C	YDR308C-t26_1	BK006938:1,078,027..1,078,449(-)	Srb7p	
YDR309C	YDR309C-t26_1	BK006938:1,079,048..1,080,199(-)	Gic2p	
YDR310C	YDR310C-t26_1	BK006938:1,081,128..1,084,316(-)	Sum1p	
YDR311W	YDR311W-t26_1	BK006938:1,085,065..1,086,993(+)	TFIIH/NER complex subunit TFB1	
YDR312W	YDR312W-t26_1	BK006938:1,087,581..1,088,942(+)	rRNA-binding ribosome biosynthesis protein	
YDR313C	YDR313C-t26_1	BK006938:1,089,219..1,090,079(-)	phosphatidylinositol-3-phosphate-binding ubiquitin-protein ligase	
YDR314C	YDR314C-t26_1	BK006938:1,090,433..1,092,511(-)	Rad34p	
YDR315C	YDR315C-t26_1	BK006938:1,092,741..1,093,586(-)	inositol pentakisphosphate 2-kinase	
YDR316W	YDR316W-t26_1	BK006938:1,093,763..1,095,178(+)	putative RNA methyltransferase	
YDR316W-A	YDR316W-A-t26_1	BK006938:1,096,064..1,097,386(+)	gag protein	
YDR316W-B	YDR316W-B-t26_1	BK006938:1,096,064..1,101,332(+)	gag-pol fusion protein	
YDR317W	YDR317W-t26_1	BK006938:1,102,184..1,103,428(+)	Him1p	
YDR318W	YDR318W-t26_1	BK006938:1,103,758..1,104,947(+)	Mcm21p	
YDR319C	YDR319C-t26_1	BK006938:1,105,003..1,105,827(-)	Yft2p	
YDR320C	YDR320C-t26_1	BK006938:1,106,095..1,108,101(-)	Swa2p	
YDR320C-A	YDR320C-A-t26_1	BK006938:1,108,280..1,108,498(-)	Dad4p	
YDR321W	YDR321W-t26_1	BK006938:1,108,702..1,109,847(+)	asparaginase ASP1	
YDR322C-A	YDR322C-A-t26_1	BK006938:1,112,003..1,112,293(-)	F1F0 ATP synthase subunit e	
YDR322W	YDR322W-t26_1	BK006938:1,110,589..1,111,692(+)	mitochondrial 54S ribosomal protein YmL35	
YDR323C	YDR323C-t26_1	BK006938:1,112,480..1,114,027(-)	Pep7p	
YDR324C	YDR324C-t26_1	BK006938:1,114,433..1,116,763(-)	Utp4p	
YDR325W	YDR325W-t26_1	BK006938:1,117,126..1,120,233(+)	condensin subunit YCG1	
YDR326C	YDR326C-t26_1	BK006938:1,120,609..1,124,925(-)	Ysp2p	
YDR328C	YDR328C-t26_1	BK006938:1,125,434..1,126,018(-)	SCF ubiquitin ligase subunit SKP1	
YDR329C	YDR329C-t26_1	BK006938:1,126,270..1,127,595(-)	Pex3p	
YDR330W	YDR330W-t26_1	BK006938:1,127,872..1,129,374(+)	Ubx5p	
YDR331W	YDR331W-t26_1	BK006938:1,129,588..1,130,823(+)	GPI-anchor transamidase	
YDR332W	YDR332W-t26_1	BK006938:1,131,001..1,133,070(+)	double-stranded DNA-dependent ATPase	
YDR333C	YDR333C-t26_1	BK006938:1,133,260..1,135,431(-)	Rqc1p	
YDR334W	YDR334W-t26_1	BK006938:1,135,932..1,140,476(+)	chromatin-remodeling protein SWR1	
YDR335W	YDR335W-t26_1	BK006938:1,141,168..1,144,842(+)	karyopherin MSN5	
YDR336W	YDR336W-t26_1	BK006938:1,145,092..1,146,036(+)	Mrx8p	
YDR337W	YDR337W-t26_1	BK006938:1,146,319..1,147,179(+)	mitochondrial 37S ribosomal protein MRPS28	
YDR338C	YDR338C-t26_1	BK006938:1,147,379..1,149,466(-)	hypothetical protein	
YDR339C	YDR339C-t26_1	BK006938:1,149,951..1,150,520(-)	rRNA-processing protein FCF1	
YDR341C	YDR341C-t26_1	BK006938:1,151,803..1,153,626(-)	arginine--tRNA ligase	
YDR342C	YDR342C-t26_1	BK006938:1,154,216..1,155,928(-)	hexose transporter HXT7	
YDR343C	YDR343C-t26_1	BK006938:1,159,608..1,161,320(-)	hexose transporter HXT6	
YDR345C	YDR345C-t26_1	BK006938:1,162,957..1,164,660(-)	hexose transporter HXT3	
